"abbreviation"	"name"	"compartment"
"betaine_aldehyde"	"betaine_aldehyde"	"c, m"
"betaine"	"betaine"	"c, m, e"
"homocysteine"	"homocysteine"	"c"
"dimethylglycine"	"dimethylglycine"	"c, m"
"methionine"	"methionine"	"c, l, e"
"5-aminolevulinate"	"5-aminolevulinate"	"m, c"
"cys-gly"	"cys-gly"	"c, e"
"gamma-L-glutamyl-L-alanine"	"gamma-L-glutamyl-L-alanine"	"c"
"THF-hexaglutamate"	"THF-hexaglutamate"	"c"
"glycolate"	"glycolate"	"c, m"
"S-aminomethyldihydrolipoamide"	"S-aminomethyldihydrolipoamide"	"m"
"lipoylprotein"	"lipoylprotein"	"m"
"S-aminomethyldihydrolipoylprotein"	"S-aminomethyldihydrolipoylprotein"	"m"
"dihydrolipoylprotein"	"dihydrolipoylprotein"	"m"
"O-phospho-L-homoserine"	"O-phospho-L-homoserine"	"c"
"acetylcarnosine"	"acetylcarnosine"	"c"
"carnosine"	"carnosine"	"c"
"histamine"	"histamine"	"c, e"
"N-methylhistamine"	"N-methylhistamine"	"c"
"methylimidazole-acetaldehyde"	"methylimidazole-acetaldehyde"	"c"
"methylimidazoleaceticacid"	"methylimidazoleaceticacid"	"c"
"S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]glutathione"	"S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]glutathione"	"c"
"S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-L-cysteine"	"S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-L-cysteine"	"c"
"urocanate"	"urocanate"	"c"
"N-acetyl-S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-L-cysteine"	"N-acetyl-S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-L-cysteine"	"c"
"NH4"	"NH4"	"c, e, m"
"S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-3-thiolactate"	"S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-3-thiolactate"	"c"
"imidazole-4-acetaldehyde"	"imidazole-4-acetaldehyde"	"c, m"
"imidazole-4-acetate"	"imidazole-4-acetate"	"c, m"
"2-oxoadipate"	"2-oxoadipate"	"m, c"
"glutaryl-CoA"	"glutaryl-CoA"	"m"
"histone-N6-methyl-L-lysine"	"histone-N6-methyl-L-lysine"	"n"
"histone-L-lysine"	"histone-L-lysine"	"n, c"
"saccharopine"	"saccharopine"	"m"
"L-2-aminoadipate"	"L-2-aminoadipate"	"c, m"
"S-glutaryldihydrolipoamide"	"S-glutaryldihydrolipoamide"	"m"
"2-aminoadipate6-semialdehyde"	"2-aminoadipate6-semialdehyde"	"m, c"
